stove_id,sales_reference,sales_orders
101052907,TR-E14406,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-12""}"
101052766,TR-F89E19,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-07-29""}"
101052811,TR-F89E19,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-07-29""}"
101052813,TR-F89E19,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-07-29""}"
101052840,TR-F89E19,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-07-29""}"
101052767,TR-F89E19,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-07-29""}"
101052794,TR-F89E19,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-07-29""}"
101052800,TR-F89E19,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-07-29""}"
101052775,TR-F89E19,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-07-29""}"
101052765,TR-F89E19,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-07-29""}"
101052850,TR-F89E19,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-07-29""}"
101024448,TR-26660A,"{""factories"": {""factory_location"": ""Kano""}, ""sales_date"": ""2025-07-25""}"
101074861,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073191,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074840,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071960,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071933,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073189,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074693,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074694,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101075006,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071938,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074699,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073133,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101075048,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073021,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071994,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101075059,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074883,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074689,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071952,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073024,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071995,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071927,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073128,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073033,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101075055,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071936,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074838,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071949,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101075050,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073180,TR-DDF217,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074864,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074854,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074852,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071964,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071986,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074688,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073020,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073143,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074871,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071924,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101075049,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073029,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074511,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101075013,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074886,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074654,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074691,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071959,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071902,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101075047,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074687,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071872,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101075051,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073126,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074862,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071923,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074841,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074685,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074683,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071944,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074853,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074847,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074884,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101071962,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074507,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101075058,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074517,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074850,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074512,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073027,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074837,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073040,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101073042,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
101074873,TR-FE429A,"{""factories"": {""factory_location"": ""Ibadan""}, ""sales_date"": ""2025-08-04""}"
